ID,Segment Type,Segment Description,Answer,Count,Percentage,It became a Relationship,Gender
293181,University,University of Denver,Yes,1,1.0,Yes,male
293183,University,University of Denver,No,0,0.0,No,male
293185,University,University of Denver,I don't use Tinder,0,0.0,No,female
293187,University,University of Washington,Yes,0,0.0,No,female
293189,University,University of Washington,No,3,0.75,Yes,female
293191,University,University of Washington,I don't use Tinder,1,0.25,No,female
293193,University,University of Illinois,Yes,10,0.213,Yes,female
293195,University,University of Illinois,No,29,0.617,No,female
293197,University,University of Illinois,I don't use Tinder,8,0.17,No,male
293199,University,New York University,Yes,1,0.333,No,male
293201,University,New York University,No,2,0.667,Yes,female
293203,University,New York University,I don't use Tinder,0,0.0,No,male
293205,University,Butler University,Yes,7,0.103,No,female
293207,University,Butler University,No,44,0.647,No,female
293209,University,Butler University,I don't use Tinder,17,0.25,Yes,female
293211,University,Washington University in St. Louis,Yes,1,0.125,No,female
293213,University,Washington University in St. Louis,No,5,0.625,No,male
293215,University,Washington University in St. Louis,I don't use Tinder,2,0.25,No,male
293217,University,Northern Illinois University,Yes,0,0.0,Yes,female
293219,University,Northern Illinois University,No,1,0.5,No,male
293221,University,Northern Illinois University,I don't use Tinder,1,0.5,Yes,female
293223,University,University of Iowa,Yes,1,0.333,No,female
293225,University,University of Iowa,No,1,0.333,No,female
293227,University,University of Iowa,I don't use Tinder,1,0.333,No,male
293229,University,Dartmouth College,Yes,5,0.5,Yes,female
293231,University,Dartmouth College,No,3,0.3,No,female
293233,University,Dartmouth College,I don't use Tinder,2,0.2,No,female
293235,University,Loyola Marymount University,Yes,0,0.0,No,male
293237,University,Loyola Marymount University,No,1,1.0,Yes,male
293239,University,Loyola Marymount University,I don't use Tinder,0,0.0,No,male
293241,University,Williams College,Yes,0,0.0,No,male
293243,University,Williams College,No,0,0.0,No,male
293245,University,Williams College,I don't use Tinder,1,1.0,Yes,female
293247,University,University of Maryland,Yes,1,1.0,No,female
293249,University,University of Maryland,No,0,0.0,Yes,male
293251,University,University of Maryland,I don't use Tinder,0,0.0,No,female
293253,University,UMass Amherst,Yes,3,0.25,No,female
293255,University,UMass Amherst,No,6,0.5,No,female
293257,University,UMass Amherst,I don't use Tinder,3,0.25,Yes,male
293259,University,University of Arizona,Yes,4,0.364,No,female
293261,University,University of Arizona,No,4,0.364,No,male
293263,University,University of Arizona,I don't use Tinder,3,0.273,No,female
293265,University,Texas Christian University,Yes,8,0.308,Yes,female
293267,University,Texas Christian University,No,8,0.308,No,male
293269,University,Texas Christian University,I don't use Tinder,10,0.385,No,female
293271,University,Emory University,Yes,1,0.2,No,female
293273,University,Emory University,No,3,0.6,Yes,female
293275,University,Emory University,I don't use Tinder,1,0.2,No,male
293277,University,Columbia University,Yes,2,0.333,Yes,female
293279,University,Columbia University,No,3,0.5,No,female
293281,University,Columbia University,I don't use Tinder,1,0.167,No,male
293283,University,Purdue University,Yes,5,0.192,No,male
293285,University,Purdue University,No,13,0.5,Yes,female
293287,University,Purdue University,I don't use Tinder,8,0.308,No,female
293289,University,Tufts University,Yes,3,0.429,No,female
293291,University,Tufts University,No,2,0.286,No,female
293293,University,Tufts University,I don't use Tinder,2,0.286,Yes,female
293295,University,University of Richmond,Yes,2,0.111,No,female
293297,University,University of Richmond,No,9,0.5,No,female
293299,University,University of Richmond,I don't use Tinder,7,0.389,No,female
293301,University,Quinnipiac University,Yes,0,0.0,Yes,female
293303,University,Quinnipiac University,No,2,1.0,No,female
293305,University,Quinnipiac University,I don't use Tinder,0,0.0,Yes,female
293307,University,United States Naval Academy,Yes,0,0.0,No,male
293309,University,United States Naval Academy,No,3,0.429,No,male
293311,University,United States Naval Academy,I don't use Tinder,4,0.571,No,male
293313,University,"University of California, Santa Cruz",Yes,2,0.667,Yes,female
293315,University,"University of California, Santa Cruz",No,1,0.333,No,female
293317,University,"University of California, Santa Cruz",I don't use Tinder,0,0.0,No,male
293319,University,Rice University ,Yes,1,0.167,No,female
293321,University,Rice University ,No,4,0.667,Yes,female
293323,University,Rice University ,I don't use Tinder,1,0.167,No,female
293325,University,Mississippi State University,Yes,4,0.364,No,female
293327,University,Mississippi State University,No,6,0.545,No,male
293329,University,Mississippi State University,I don't use Tinder,1,0.091,Yes,female
293331,University,University of Missouri,Yes,7,0.233,No,male
293333,University,University of Missouri,No,15,0.5,Yes,female
293335,University,University of Missouri,I don't use Tinder,8,0.267,No,female
293337,University,University of Georgia,Yes,1,0.091,No,female
293339,University,University of Georgia,No,9,0.818,No,female
293341,University,University of Georgia,I don't use Tinder,1,0.091,Yes,female
293343,University,Louisiana State University,Yes,2,0.25,No,female
293345,University,Louisiana State University,No,4,0.5,No,male
293347,University,Louisiana State University,I don't use Tinder,2,0.25,No,female
293349,University,Lehigh University,Yes,0,0.0,Yes,male
293351,University,Lehigh University,No,2,0.667,No,male
293353,University,Lehigh University,I don't use Tinder,1,0.333,No,female
293355,University,Northern Arizona University,Yes,1,1.0,No,male
293357,University,Northern Arizona University,No,0,0.0,Yes,female
293359,University,Northern Arizona University,I don't use Tinder,0,0.0,No,female
293361,University,Elon University,Yes,0,0.0,Yes,male
293363,University,Elon University,No,4,0.667,No,male
293365,University,Elon University,I don't use Tinder,2,0.333,No,female
293367,University,Vassar College,Yes,1,0.5,No,female
293369,University,Vassar College,No,1,0.5,Yes,female
293371,University,Vassar College,I don't use Tinder,0,0.0,No,male
293373,University,University of Pittsburgh,Yes,0,0.0,No,female
293375,University,University of Pittsburgh,No,0,0.0,No,female
293377,University,University of Pittsburgh,I don't use Tinder,2,1.0,Yes,female
293379,University,University of Chicago,Yes,2,0.4,No,female
293381,University,University of Chicago,No,1,0.2,No,female
293383,University,University of Chicago,I don't use Tinder,2,0.4,No,male
293385,University,University of Buffalo,Yes,0,0.0,Yes,female
293387,University,University of Buffalo,No,0,0.0,No,female
293389,University,University of Buffalo,I don't use Tinder,1,1.0,Yes,female
293391,University,University of Minnesota,Yes,2,0.5,No,male
293393,University,University of Minnesota,No,1,0.25,No,male
293395,University,University of Minnesota,I don't use Tinder,1,0.25,No,female
293397,University,Colorado State University,Yes,0,0.0,Yes,female
293399,University,Colorado State University,No,3,1.0,No,female
293401,University,Colorado State University,I don't use Tinder,0,0.0,No,female
293403,University,Skidmore College,Yes,0,0.0,No,male
293405,University,Skidmore College,No,1,1.0,Yes,female
293407,University,Skidmore College,I don't use Tinder,0,0.0,No,female
293409,University,Rochester Institute of Technology,Yes,0,0.0,No,male
293411,University,Rochester Institute of Technology,No,2,1.0,No,female
293413,University,Rochester Institute of Technology,I don't use Tinder,0,0.0,Yes,female
293415,University,Arizona State University,Yes,0,0.0,No,female
293417,University,Arizona State University,No,1,0.5,Yes,female
293419,University,Arizona State University,I don't use Tinder,1,0.5,No,female
293421,University,University of Rochester,Yes,1,0.333,No,female
293423,University,University of Rochester,No,2,0.667,No,female
293425,University,University of Rochester,I don't use Tinder,0,0.0,Yes,female
293427,University,University of St Andrews,Yes,0,0.0,No,female
293429,University,University of St Andrews,No,2,0.667,No,female
293431,University,University of St Andrews,I don't use Tinder,1,0.333,No,female
293433,University,Florida State University,Yes,0,0.0,Yes,female
293435,University,Florida State University,No,0,0.0,No,female
293437,University,Florida State University,I don't use Tinder,1,1.0,No,male
293439,University,Ithaca College,Yes,1,0.25,No,male
293441,University,Ithaca College,No,2,0.5,Yes,female
293443,University,Ithaca College,I don't use Tinder,1,0.25,No,female
293445,University,Union College,Yes,1,0.111,Yes,female
293447,University,Union College,No,7,0.778,No,female
293449,University,Union College,I don't use Tinder,1,0.111,No,female
293451,University,Loyola University Maryland,Yes,0,0.0,No,female
293453,University,Loyola University Maryland,No,3,1.0,Yes,female
293455,University,Loyola University Maryland,I don't use Tinder,0,0.0,No,female
293457,University,Marquette University,Yes,1,0.5,No,female
293459,University,Marquette University,No,1,0.5,No,female
293461,University,Marquette University,I don't use Tinder,0,0.0,Yes,male
293463,University,James Madison University,Yes,1,1.0,No,female
293465,University,James Madison University,No,0,0.0,No,male
293467,University,James Madison University,I don't use Tinder,0,0.0,No,female
293469,University,Sacred Heart University,Yes,0,0.0,Yes,male
293471,University,Sacred Heart University,No,1,1.0,No,male
293473,University,Sacred Heart University,I don't use Tinder,0,0.0,Yes,male
293475,University,University of Wisconsin-Whitewater,Yes,2,0.4,No,male
293477,University,University of Wisconsin-Whitewater,No,2,0.4,No,male
293479,University,University of Wisconsin-Whitewater,I don't use Tinder,1,0.2,No,female
293481,University,St. Lawrence University,Yes,1,1.0,Yes,male
293483,University,St. Lawrence University,No,0,0.0,No,female
293485,University,St. Lawrence University,I don't use Tinder,0,0.0,No,female
293487,University,Iowa State University,Yes,0,0.0,No,female
293489,University,Iowa State University,No,1,1.0,Yes,male
293491,University,Iowa State University,I don't use Tinder,0,0.0,No,female
293493,University,University of Wisconsin-La Crosse,Yes,0,0.0,No,female
293495,University,University of Wisconsin-La Crosse,No,2,0.667,No,female
293497,University,University of Wisconsin-La Crosse,I don't use Tinder,1,0.333,Yes,female
293499,University,College of William and Mary,Yes,3,0.188,No,female
293501,University,College of William and Mary,No,7,0.438,Yes,female
293503,University,College of William and Mary,I don't use Tinder,6,0.375,No,female
293505,University,University of Notre Dame,Yes,0,0.0,No,female
293507,University,University of Notre Dame,No,3,0.6,No,female
293509,University,University of Notre Dame,I don't use Tinder,2,0.4,Yes,female
293511,University,University of Tennessee,Yes,2,0.5,No,female
293513,University,University of Tennessee,No,1,0.25,No,female
293515,University,University of Tennessee,I don't use Tinder,1,0.25,No,female
293517,University,Illinois State,Yes,0,0.0,Yes,female
293519,University,Illinois State,No,1,0.5,No,male
293521,University,Illinois State,I don't use Tinder,1,0.5,No,male
293523,University,Auburn University,Yes,0,0.0,No,female
293525,University,Auburn University,No,1,1.0,Yes,female
293527,University,Auburn University,I don't use Tinder,0,0.0,No,female
293529,University,Gonzaga University,Yes,0,0.0,Yes,male
293531,University,Gonzaga University,No,1,1.0,No,female
293533,University,Gonzaga University,I don't use Tinder,0,0.0,No,male
293535,University,Washington State University,Yes,8,0.308,No,female
293537,University,Washington State University,No,12,0.462,Yes,female
293539,University,Washington State University,I don't use Tinder,6,0.231,No,female
293541,University,Michigan State University,Yes,0,0.0,No,male
293543,University,Michigan State University,No,1,1.0,No,female
293545,University,Michigan State University,I don't use Tinder,0,0.0,Yes,female
293547,University,Florida International University,Yes,0,0.0,No,male
293549,University,Florida International University,No,2,1.0,No,female
